Datum;Feiertag
01.01.2013;1
29.03.2013;1
01.04.2013;1
01.05.2013;1
09.05.2013;1
20.05.2013;1
03.06.2013;1
03.10.2013;1
25.12.2013;1
26.12.2013;1
01.01.2014;1
18.04.2014;1
21.04.2014;1
01.05.2014;1
29.05.2014;1
09.06.2014;1
19.06.2014;1
03.10.2014;1
25.12.2014;1
26.12.2014;1
01.01.2015;1
03.04.2015;1
06.04.2015;1
01.05.2015;1
14.05.2015;1
25.05.2015;1
04.06.2015;1
03.10.2015;1
25.12.2015;1
26.12.2015;1
01.01.2016;1
25.03.2016;1
28.03.2016;1
01.05.2016;1
05.05.2016;1
16.05.2016;1
26.05.2016;1
03.10.2016;1
25.12.2016;1
26.12.2016;1
01.01.2017;1
14.04.2017;1
17.04.2017;1
01.05.2017;1
25.05.2017;1
05.06.2017;1
15.06.2017;1
03.10.2017;1
25.12.2017;1
26.12.2017;1
01.01.2018;1
30.03.2018;1
02.04.2018;1
01.05.2018;1
10.05.2018;1
21.05.2018;1
31.05.2018;1
03.10.2018;1
25.12.2018;1
26.12.2018;1
